"<9, 0, 2, 2> Count = 1",n11 m11 cospeciation,n6 m7 cospeciation,n3 m3 cospeciation,n8 m9 cospeciation,n1 m1 cospeciation,n6 m6 loss m7,n4 m4 cospeciation,lativitta_EastE m5 loss malleti_EastE,n7 m8 cospeciation,n9 m10 cospeciation,n10 melpomene_WestPA switch melpomene_EastT,n5 amaryllis_EastPE switch ecuadoriensis_EastE,n2 m2 cospeciation
IEvents in 1 regions,n11 m11 cospeciation,n6 m7 cospeciation,n3 m3 cospeciation,n8 m9 cospeciation,n1 m1 cospeciation,n5 amaryllis_EastPE switch ecuadoriensis_EastE,n6 m6 loss m7,n4 m4 cospeciation,n7 m8 cospeciation,n9 m10 cospeciation,n10 melpomene_WestPA switch melpomene_EastT,lativitta_EastE m5 loss malleti_EastE,n2 m2 cospeciation
